srch_id,prop_id,booked_v4_pos,booked_v6_pos,v6_helps,v6_hurts,v6_top5_only,v4_top5_only,seg_dest,seg_cand,seg_los,seg_dom,prop_click_rate,prop_dest_book_rate,prop_count,price_vs_prop_mean,value_score_rank_norm,price_rank_norm,review_rank_norm,is_domestic,srch_length_of_stay
434,90798,4,7,0,1,0,1,mid_dest,high_cand,los_le2,domestic,0.043323133,0.03991967,24,-23.204586,0.67741936,0.67741936,0.12903225,1,1
458,82185,3,3,0,0,0,0,mid_dest,low_cand,los_le2,international,0.068807326,0.027742945,4,14.617493,0.375,0.375,0.375,0,2
501,4820,14,15,0,1,0,0,high_dest,mid_cand,los_le2,domestic,0.05357262,0.0163773,107,-17.53019,0.5,0.26666668,0.8,1,2
522,4484,3,4,0,1,0,0,mid_dest,high_cand,los_le2,domestic,0.06779917,0.02970766,152,89.24211,0.22580644,0.516129,0.032258064,1,1
523,45995,12,16,0,1,0,0,low_dest,high_cand,los_le2,domestic,0.01424946,0.0049540973,64,6.794998,0.9375,0.25,0.125,1,1
527,70054,5,5,0,0,0,0,low_dest,low_cand,los_le2,domestic,0.046997495,0.03628572,190,29.306526,0.125,0.5625,0.875,1,2
547,140801,4,3,1,0,0,0,high_dest,mid_cand,los_le2,domestic,0.03708931,0.025220858,87,5.3480453,0.3,0.36666667,0.1,1,1
558,112113,1,1,0,0,0,0,,,,,0.1412203,0.11050999,199,35.151054,0.6875,0.125,0.5625,1,1
560,18730,7,10,0,1,0,0,low_dest,high_cand,los_le2,domestic,0.06219872,0.045548588,88,-5.172386,0.3939394,0.57575756,0.060606062,1,1
589,5841,2,2,0,0,0,0,low_dest,low_cand,los_le2,international,0.029337633,0.024102442,152,-130.33008,0.26666668,0.13333334,0.4,0,2
597,97465,2,1,1,0,0,0,,,,,0.09174311,0.075142905,50,8.967194,0.16666667,0.6666667,0.33333334,1,1
606,35679,1,1,0,0,0,0,,,,,0.07049888,0.014601549,911,-71.851166,0.1875,0.15625,0.0625,1,2
609,22471,11,10,1,0,0,0,low_dest,mid_cand,los_le2,domestic,0.071650885,0.017822623,533,4.870224,0.96,0.32,0.8,1,1
611,73049,4,3,1,0,0,0,mid_dest,high_cand,los_3plus,international,0.047894612,0.051097177,165,7.177574,0.5151515,0.33333334,0.21212122,0,4
625,108888,6,4,1,0,1,0,mid_dest,high_cand,los_le2,international,0.09367455,0.01155956,27,-70.73074,0.32258064,0.5483871,0.16129032,0,1
649,66619,1,1,0,0,0,0,,,,,0.11728241,0.17518689,7,-18.82,0.75,0.33333334,0.16666667,0,1
662,69607,9,8,1,0,0,0,low_dest,mid_cand,los_le2,domestic,0.02323246,0.020893848,372,9.604889,0.071428575,0.32142857,0.071428575,1,1
669,111719,1,1,0,0,0,0,,,,,0.045337133,0.065069415,176,6.315796,0.030303031,0.72727275,0.18181819,1,1
675,19303,11,11,0,0,0,0,high_dest,low_cand,los_3plus,international,0.016134132,0.008949337,115,29.431732,0.46153846,0.7692308,0.15384616,0,4
681,85431,3,3,0,0,0,0,mid_dest,high_cand,los_3plus,domestic,0.07043136,0.089677565,131,-43.68817,0.19354838,0.5483871,0.032258064,1,3
683,3454,14,11,1,0,0,0,low_dest,high_cand,los_3plus,international,0.04766503,0.025304772,103,-2.9295197,0.87096775,0.48387095,0.2580645,0,3
703,5061,1,1,0,0,0,0,,,,,0.028062599,0.027742945,89,-9.816513,0.030303031,0.36363637,0.42424244,1,1
706,44185,2,1,1,0,0,0,,,,,0.058675267,0.06723313,61,192.48181,0.2,0.6,0.2,0,2
710,78600,6,5,1,0,1,0,mid_dest,high_cand,los_3plus,domestic,0.065355144,0.015412747,67,-14.40329,0.58064514,0.32258064,0.29032257,1,3
719,113074,1,1,0,0,0,0,,,,,0.10332022,0.14233933,12,-2.0833359,0.85714287,0.2857143,0.85714287,1,1
773,58063,15,16,0,1,0,0,mid_dest,mid_cand,los_le2,international,0.036697242,0.011097178,61,-77.60377,0.75,0.21428572,0.9285714,0,2
780,7256,9,9,0,0,0,0,low_dest,high_cand,los_le2,domestic,0.044708148,0.011508374,246,-29.39589,0.65625,0.21875,0.90625,1,1
791,40702,13,11,1,0,0,0,high_dest,high_cand,los_le2,international,0.04839093,0.03687439,163,-8281.818,0.516129,0.7741935,0.06451613,0,2
795,73907,9,8,1,0,0,0,low_dest,high_cand,los_3plus,domestic,0.033900797,0.002117782,157,-62.881332,0.88235295,0.5294118,0.0882353,1,3
806,28328,23,22,1,0,0,0,low_dest,high_cand,los_3plus,international,0.012636313,0.0046238243,76,-19.981186,0.4117647,0.6764706,0.11764706,0,4
843,24092,4,4,0,0,0,0,mid_dest,high_cand,los_le2,international,0.04786207,0.03400668,583,-345.1654,0.125,0.09375,0.6875,0,2
855,82953,1,1,0,0,0,0,,,,,0.09040519,0.075142905,18,-69.248886,0.375,0.375,0.75,0,3
935,57845,1,1,0,0,0,0,,,,,0.070221424,0.0982638,103,-1737.4204,0.1875,0.59375,0.46875,1,2
947,93595,2,4,0,1,0,0,high_dest,mid_cand,los_3plus,international,0.05205283,0.0077063735,111,-40.142166,0.033333335,0.3,0.16666667,0,3
962,70629,2,2,0,0,0,0,high_dest,low_cand,los_le2,domestic,0.14360346,0.10844902,42,-35.50143,0.65,0.45,0.05,1,2
969,34221,3,1,1,0,0,0,,,,,0.041781805,0.015554289,385,-54.589653,0.17857143,0.10714286,0.5,1,1
986,137642,5,2,1,0,0,0,low_dest,high_cand,los_le2,domestic,0.08534243,0.075142905,56,-20.565895,0.3939394,0.54545456,0.09090909,1,2
1009,6300,1,2,0,1,0,0,mid_dest,low_cand,los_3plus,international,0.07435348,0.05554041,257,-225.22992,0.6111111,0.22222222,0.2777778,0,6
1020,52041,12,8,1,0,0,0,mid_dest,mid_cand,los_3plus,international,0.09697034,0.08225826,56,55.673553,0.44444445,0.7037037,0.25925925,0,3
1027,97708,9,9,0,0,0,0,low_dest,low_cand,los_le2,domestic,0.02599388,0.021340726,60,35.639168,0.16666667,0.75,0.41666666,1,2
1029,10337,1,2,0,1,0,0,low_dest,high_cand,los_le2,domestic,0.10276383,0.033616565,129,-7.009918,0.27272728,0.6969697,0.5151515,1,1
1032,61456,7,7,0,0,0,0,low_dest,high_cand,los_le2,domestic,0.02599388,0.0473122,60,0.42933273,0.625,0.15625,0.875,1,1
1033,45875,16,14,1,0,0,0,mid_dest,low_cand,los_le2,international,0.05199813,0.026864177,265,-33.89203,0.6,0.6,0.15,0,1
1042,113300,1,1,0,0,0,0,,,,,0.07339449,0.07065465,179,-69.44771,0.032258064,0.38709676,0.4516129,0,2
1063,81991,21,23,0,1,0,0,high_dest,high_cand,los_3plus,international,0.041857786,0.027742945,2,-11.0099945,0.83870965,0.38709676,,0,4
1069,7784,4,4,0,0,0,0,mid_dest,high_cand,los_le2,international,0.09174311,0.060829975,50,-9.850006,0.09090909,0.8181818,0.3030303,0,1
1082,110898,4,4,0,0,0,0,high_dest,low_cand,los_le2,domestic,0.024804614,0.009566532,24,-1.737503,0.5714286,0.14285715,1.0,1,1
1085,70918,2,1,1,0,0,0,,,,,0.08810801,0.08369906,76,1.7376328,0.21212122,0.45454547,0.6363636,1,1
1098,129887,9,4,1,0,1,0,low_dest,mid_cand,los_3plus,international,0.010071047,0.0040207165,103,-15.223976,0.06666667,0.33333334,0.6666667,0,3
1131,136179,1,3,0,1,0,0,high_dest,mid_cand,los_le2,international,0.054243114,0.03991967,50,0.11338806,0.21428572,0.39285713,0.32142857,0,2
1135,41467,4,5,0,1,0,0,mid_dest,mid_cand,los_3plus,international,0.08962156,0.049658023,130,36.55922,0.26666668,0.26666668,0.4,0,7
1151,89787,15,14,1,0,0,0,mid_dest,low_cand,los_le2,international,0.016536409,0.0051375823,51,89.52902,0.16666667,0.7222222,0.5555556,0,1
1155,63467,17,16,1,0,0,0,low_dest,high_cand,los_le2,domestic,0.02981651,0.025220858,82,-0.35195923,0.46875,0.53125,0.125,1,1
1185,91104,21,20,1,0,0,0,mid_dest,high_cand,los_le2,international,0.047706418,0.049509335,40,18.293,1.0,0.64705884,0.0882353,0,2
1196,38923,2,2,0,0,0,0,mid_dest,low_cand,los_le2,domestic,0.031891648,0.027742945,12,-0.08333588,0.625,0.125,1.0,1,1
1211,38842,11,7,1,0,0,0,high_dest,mid_cand,los_le2,domestic,0.1005404,0.078034036,43,17.330933,0.8,0.56,0.48,1,1
1217,119669,21,19,1,0,0,0,mid_dest,mid_cand,los_le2,domestic,0.03916458,0.009908195,234,18.750046,0.5714286,0.64285713,0.10714286,1,2
1221,40898,2,2,0,0,0,0,high_dest,low_cand,los_3plus,domestic,0.09476647,0.11986471,58,76.69293,0.083333336,0.75,0.5,1,5
1226,138263,3,3,0,0,0,0,high_dest,mid_cand,los_le2,domestic,0.05357345,0.07983934,51,-1736.9197,0.52,0.24,0.56,1,1
1237,112335,13,15,0,1,0,0,high_dest,mid_cand,los_le2,domestic,0.03499556,0.08857917,94,5.26532,0.65217394,0.04347826,0.95652175,1,1
1259,54795,4,4,0,0,0,0,low_dest,high_cand,los_le2,domestic,0.11317554,0.08562483,565,40.152496,0.125,0.875,0.03125,1,2
1264,127077,1,1,0,0,0,0,,,,,0.12924312,0.027742945,50,-65.8902,0.18181819,0.18181819,0.18181819,1,1
1271,15390,10,11,0,1,0,0,low_dest,high_cand,los_3plus,domestic,0.036492508,0.010645245,911,-73.19302,0.09090909,0.8181818,0.060606062,1,3
1279,75475,21,16,1,0,0,0,mid_dest,high_cand,los_le2,domestic,0.091563225,0.010670363,72,20.874863,0.029411765,0.9117647,0.05882353,1,2
1288,36507,29,29,0,0,0,0,mid_dest,high_cand,los_3plus,domestic,0.018223377,0.0065846876,263,15.156067,0.625,0.8125,0.0625,1,4
1295,89721,2,2,0,0,0,0,high_dest,high_cand,los_le2,domestic,0.03657157,0.06155215,116,-77.83914,0.05882353,0.20588236,0.0882353,1,2
1297,113182,4,4,0,0,0,0,high_dest,low_cand,los_le2,domestic,0.06591912,0.07504262,51,-11.42334,0.33333334,0.5,0.055555556,1,1
1347,117153,1,1,0,0,0,0,,,,,0.06999112,0.2184953,32,-15.144066,0.16666667,0.5,0.5,1,1
1350,35653,4,4,0,0,0,0,mid_dest,mid_cand,los_3plus,international,0.041857786,0.025220858,2,32.255005,0.10344828,0.51724136,0.03448276,0,3
1417,65100,1,1,0,0,0,0,,,,,0.043412704,0.022873955,761,73.30156,0.125,0.25,0.125,1,3
1430,125066,2,2,0,0,0,0,low_dest,low_cand,los_3plus,international,0.026414372,0.017991964,210,-8510.942,0.5,0.6666667,0.33333334,0,3
1438,100599,20,21,0,1,0,0,mid_dest,high_cand,los_3plus,international,0.046029735,0.020941466,86,-60.681274,0.7741935,0.7096774,0.06451613,0,3
1443,24017,2,1,1,0,0,0,,,,,0.04372034,0.037571453,115,-100.588776,0.46153846,0.03846154,0.42307693,0,4
1447,8729,16,16,0,0,0,0,low_dest,high_cand,los_le2,domestic,0.038420904,0.029032487,135,45.55371,0.0882353,1.0,0.029411765,1,1
1460,1072,3,3,0,0,0,0,high_dest,mid_cand,los_le2,domestic,0.05198776,0.058064975,15,-35.4,0.36,0.64,0.08,1,1
1464,42779,1,1,0,0,0,0,,,,,0.061119,0.075142905,41,3.410736,0.6666667,0.16666667,0.5555556,1,5
1470,9044,5,5,0,0,0,0,high_dest,low_cand,los_le2,domestic,0.08678898,0.08434924,20,1.998497,0.61538464,0.84615386,0.07692308,1,1
1474,58077,5,6,0,1,0,1,low_dest,high_cand,los_le2,international,0.03038599,0.033006225,409,-25.947243,0.09677419,0.09677419,0.7741935,0,1
1477,64710,10,6,1,0,0,0,mid_dest,high_cand,los_3plus,international,0.016951518,0.0035567877,167,-24.452034,0.6,0.028571429,0.4857143,0,3
1479,140702,30,31,0,1,0,0,mid_dest,high_cand,los_3plus,domestic,0.036201328,0.027742945,7,8.168571,0.8064516,0.5483871,0.4516129,1,5
1501,4117,1,1,0,0,0,0,,,,,0.039395563,0.021340726,4,-43.437492,0.5,0.33333334,0.5,0,1
1504,135468,10,10,0,0,0,0,high_dest,low_cand,los_le2,domestic,0.018567057,0.01851347,96,-32.36905,0.65,0.65,0.3,1,1
1517,126728,12,13,0,1,0,0,low_dest,low_cand,los_le2,domestic,0.027372533,0.0033832858,92,20.312935,0.6666667,0.46666667,0.6,1,2
1555,2476,2,2,0,0,0,0,low_dest,high_cand,los_le2,domestic,0.058160085,0.018495297,79,-30.505432,0.09090909,0.6969697,0.060606062,1,1
1601,821,14,15,0,1,0,0,high_dest,mid_cand,los_3plus,international,0.024804614,0.008406953,24,-5.7583313,0.76666665,0.36666667,0.1,0,3
1603,19534,2,2,0,0,0,0,high_dest,high_cand,los_le2,domestic,0.02849892,0.018495297,17,56.69471,0.61290324,0.9677419,0.32258064,1,1
1604,50098,8,8,0,0,0,0,low_dest,high_cand,los_le2,domestic,0.042671215,0.031630963,142,-20.322327,0.24242425,0.8787879,0.09090909,1,1
1612,56563,6,5,1,0,1,0,mid_dest,high_cand,los_le2,domestic,0.031209806,0.027742945,77,-55.256622,0.060606062,0.3939394,0.24242425,1,1
1650,95175,8,8,0,0,0,0,low_dest,high_cand,los_le2,domestic,0.031594373,0.015770733,139,37.6277,0.9677419,0.032258064,0.9677419,1,1
1661,75434,3,3,0,0,0,0,low_dest,high_cand,los_le2,domestic,0.06674311,0.08434924,50,-10.052597,0.5588235,0.9117647,0.29411766,1,1
1672,94837,10,10,0,0,0,0,low_dest,high_cand,los_le2,domestic,0.039787542,0.0290038,255,-9.662704,0.5,0.3125,0.8125,1,1
1679,68487,1,1,0,0,0,0,,,,,0.082040444,0.019278998,352,-34.1875,0.1904762,0.23809524,0.52380955,0,3
1719,91321,3,3,0,0,0,0,mid_dest,mid_cand,los_le2,domestic,0.10636883,0.02311912,39,-16.401543,0.20833333,0.5,0.16666667,1,1
1722,45726,5,5,0,0,0,0,low_dest,low_cand,los_3plus,international,0.03348623,0.018495297,10,-25.416004,0.16666667,0.16666667,0.6666667,0,3
1754,39355,17,16,1,0,0,0,mid_dest,high_cand,los_le2,international,0.031018693,0.0032259237,529,-84.186386,0.03125,0.75,0.03125,0,2
1776,100236,6,6,0,0,0,0,mid_dest,mid_cand,los_le2,international,0.027905192,0.013871472,18,20.46222,0.88461536,0.6923077,0.46153846,0,2
1777,112502,1,1,0,0,0,0,,,,,0.10716751,0.1442726,701,70.213196,0.15625,0.6875,0.375,1,1
1786,11719,8,9,0,1,0,0,low_dest,mid_cand,los_3plus,international,0.055581037,0.02311912,210,-26.575714,0.14285715,0.21428572,0.5,0,8
1787,63,2,1,1,0,0,0,,,,,0.07025591,0.13109718,46,15.376305,0.36363637,0.36363637,0.54545456,1,1
1808,54077,2,2,0,0,0,0,low_dest,high_cand,los_le2,domestic,0.11882162,0.09989403,259,-704.5261,0.28125,0.875,0.0625,1,1
1814,91200,2,2,0,0,0,0,low_dest,high_cand,los_le2,domestic,0.04058937,0.025220858,3,5.0,0.78125,0.25,0.90625,1,1
1826,50450,1,1,0,0,0,0,,,,,0.02462578,0.025220858,65,-3.3456955,0.21212122,0.5151515,0.36363637,1,4
1827,1230,3,3,0,0,0,0,mid_dest,high_cand,los_3plus,international,0.07141585,0.053123478,1361,-85.09662,0.84375,0.09375,0.84375,0,7
1836,28522,13,13,0,0,0,0,mid_dest,mid_cand,los_le2,domestic,0.022793321,0.004403642,292,-14.568115,0.90909094,0.3181818,0.77272725,1,1
1857,55315,9,9,0,0,0,0,mid_dest,high_cand,los_le2,international,0.012288525,0.01981639,79,-87.08595,0.38709676,0.87096775,0.06451613,0,1
1864,18132,2,4,0,1,0,0,high_dest,low_cand,los_le2,domestic,0.028062599,0.008406953,89,-56.979767,0.85714287,0.14285715,0.04761905,1,1
1865,82487,7,11,0,1,0,0,mid_dest,high_cand,los_le2,domestic,0.05713094,0.035584833,256,-36.474373,1.0,0.03125,0.84375,1,1
1872,76396,4,5,0,1,0,0,low_dest,low_cand,los_le2,domestic,0.08439606,0.047119904,211,54.941803,0.3888889,0.33333334,0.5555556,1,2
1881,5122,5,2,1,0,0,0,high_dest,low_cand,los_3plus,domestic,0.07520351,0.027742945,41,50.11341,0.16666667,0.16666667,0.5555556,1,4
1885,63036,6,6,0,0,0,0,high_dest,high_cand,los_3plus,international,0.026788983,0.021340726,20,-41.329506,0.38709676,0.09677419,0.58064514,0,3
1886,17880,8,10,0,1,0,0,low_dest,high_cand,los_le2,domestic,0.021061294,0.014601549,271,-135.41748,0.48387095,0.58064514,0.06451613,1,1
1897,33103,3,2,1,0,0,0,mid_dest,high_cand,los_le2,international,0.038254354,0.018821731,188,-83.48835,0.7419355,0.032258064,0.32258064,0,2
1916,93176,1,1,0,0,0,0,,,,,0.04464401,0.12605497,112,-42.53911,0.11764706,0.85294116,0.5294118,1,1
1920,3404,2,2,0,0,0,0,high_dest,low_cand,los_le2,domestic,0.09887869,0.07853205,24,28.912498,0.14285715,0.42857143,0.42857143,1,2
1931,104112,1,1,0,0,0,0,,,,,0.1282328,0.13088962,191,-42.697113,0.3548387,0.7741935,0.16129032,0,2
1933,91254,2,2,0,0,0,0,mid_dest,low_cand,los_le2,domestic,0.024384355,0.031197663,312,-49.606735,0.125,0.375,0.125,1,1
1935,54077,2,2,0,0,0,0,low_dest,low_cand,los_le2,international,0.11882162,0.09989403,259,-699.9261,0.5555556,0.33333334,0.22222222,0,2
1944,70114,2,2,0,0,0,0,high_dest,low_cand,los_le2,domestic,0.057059735,0.075142905,11,0.58908844,0.5714286,0.2857143,0.42857143,1,1
1955,31118,1,1,0,0,0,0,,,,,0.094857335,0.025220858,79,-77.21127,0.04347826,0.26086956,0.3478261,0,1
1964,44372,1,1,0,0,0,0,,,,,0.121001735,0.025220858,229,16.238739,0.12903225,0.516129,0.09677419,0,1
1984,89855,2,2,0,0,0,0,mid_dest,high_cand,los_le2,international,0.09881073,0.17327213,105,-15.377426,0.03125,0.0625,0.5,0,1
1996,76573,5,4,1,0,0,0,low_dest,low_cand,los_le2,domestic,0.05300713,0.036497984,33,29.204544,0.4,0.8666667,0.13333334,1,1
2002,47166,1,1,0,0,0,0,,,,,0.025155367,0.010275165,63,-81.6992,0.04761905,0.52380955,0.14285715,1,3
2023,104690,1,1,0,0,0,0,,,,,0.05436629,0.036149673,105,-37.30343,0.14285715,0.14285715,0.14285715,1,4
2024,27008,2,2,0,0,0,0,mid_dest,mid_cand,los_le2,international,0.07232416,0.10572353,30,-1.7143402,0.55172414,0.6896552,0.10344828,0,1
2039,62924,10,10,0,0,0,0,high_dest,low_cand,los_le2,domestic,0.039395563,0.027742945,4,30.0,0.8333333,0.41666666,0.5,1,1
2071,79068,1,1,0,0,0,0,,,,,0.03776167,0.029912094,694,-72.603195,0.045454547,0.13636364,0.09090909,0,3
2081,105307,4,4,0,0,0,0,mid_dest,low_cand,los_3plus,international,0.03872453,0.019393073,237,102.700165,0.2,0.2,0.15,0,3
2083,34016,2,2,0,0,0,0,mid_dest,mid_cand,los_3plus,international,0.025758639,0.010275165,22,-33.65727,0.2962963,0.11111111,0.6296296,0,8
2087,136898,23,25,0,1,0,0,low_dest,high_cand,los_3plus,domestic,0.041743115,0.03991967,50,-6.002796,0.90909094,0.27272728,0.75757575,1,3
2092,97878,6,6,0,0,0,0,low_dest,high_cand,los_le2,domestic,0.05411113,0.040910307,235,-36.37294,0.1875,0.53125,0.0625,1,1
2096,9931,2,1,1,0,0,0,,,,,0.05944451,0.075142905,43,6.6525574,0.76,0.8,0.6,0,1
2106,98242,2,2,0,0,0,0,high_dest,mid_cand,los_3plus,international,0.15155487,0.08516196,124,20.194992,0.4090909,0.45454547,0.18181819,0,3
2112,89509,1,1,0,0,0,0,,,,,0.09534731,0.17518689,26,-35.308464,0.06666667,0.06666667,0.33333334,0,1
2129,53779,1,1,0,0,0,0,,,,,0.091876075,0.063261926,39,-51.853333,0.516129,0.032258064,0.516129,1,3
2135,101384,1,1,0,0,0,0,,,,,0.04414055,0.10645245,23,-1.274353,0.32258064,0.16129032,0.48387095,1,1
2138,70012,1,1,0,0,0,0,,,,,0.07566442,0.036732733,67,-35.50746,0.16,0.52,0.12,1,6
2147,25632,1,1,0,0,0,0,,,,,0.15063627,0.08434924,32,-9.973747,0.1875,0.46875,0.625,1,1
2153,89611,6,5,1,0,1,0,mid_dest,low_cand,los_le2,domestic,0.02911846,0.027742945,16,31.615623,0.8333333,0.33333334,0.8333333,1,2
2154,139426,1,1,0,0,0,0,,,,,0.10493763,0.11737789,59,-242.25134,0.033333335,0.33333334,0.36666667,0,1
2160,79150,1,1,0,0,0,0,,,,,0.1138713,0.26387146,254,-28.569298,0.6296296,0.14814815,0.22222222,0,3
2179,107755,20,18,1,0,0,0,low_dest,low_cand,los_le2,international,0.030782226,0.025220858,46,-1.877182,0.6666667,0.6666667,0.2857143,0,1
2186,17834,5,3,1,0,0,0,mid_dest,low_cand,los_le2,international,0.035248663,0.018495297,8,-14.017502,0.6,0.2,1.0,0,1
2195,81855,8,8,0,0,0,0,low_dest,mid_cand,los_3plus,international,0.023162864,0.03991967,71,3.861267,0.93333334,0.43333334,0.6,0,12
2198,103763,2,2,0,0,0,0,mid_dest,low_cand,los_le2,international,0.043208037,0.027742945,1,-10.989998,0.8,0.26666668,0.2,0,1
2222,92307,19,20,0,1,0,0,low_dest,mid_cand,los_le2,domestic,0.014352449,0.022411043,133,9.391884,0.46666667,0.06666667,0.7,1,1
2226,77935,12,10,1,0,0,0,mid_dest,mid_cand,los_le2,domestic,0.024278527,0.024708744,643,-141.28104,0.43333334,0.26666668,0.1,1,1
2235,38705,9,8,1,0,0,0,low_dest,low_cand,los_le2,domestic,0.020928893,0.013210926,34,32.456474,0.05,0.15,0.3,1,2
2239,96761,22,19,1,0,0,0,mid_dest,high_cand,los_3plus,domestic,0.019152414,0.008459798,301,-103.75513,0.03125,0.6875,1.0,1,7
2245,47650,1,1,0,0,0,0,,,,,0.03234413,0.027742945,166,-3.2834396,0.2580645,0.2580645,0.38709676,1,2
2246,40463,4,4,0,0,0,0,high_dest,low_cand,los_3plus,international,0.07624519,0.0163773,604,-0.06304932,0.53846157,0.23076923,0.15384616,0,3
2255,102917,1,1,0,0,0,0,,,,,0.12678899,0.17109717,20,-12.158997,0.27272728,0.54545456,0.36363637,1,2
2270,120968,5,3,1,0,0,0,mid_dest,mid_cand,los_le2,international,0.0285423,0.0044746683,87,-44.540237,0.037037037,0.074074075,0.33333334,0,1
2300,106919,4,4,0,0,0,0,high_dest,low_cand,los_le2,international,0.03261656,0.008459798,287,16.536827,0.125,0.75,0.5,0,2
2321,106692,3,3,0,0,0,0,high_dest,low_cand,los_le2,domestic,0.031149982,0.013210926,13,-23.218468,0.42857143,0.2857143,0.2857143,1,2
2327,137997,11,9,1,0,0,0,mid_dest,high_cand,los_3plus,domestic,0.077619255,0.04358569,1894,-35.361267,0.6666667,0.54545456,0.3939394,1,3
2328,510,5,5,0,0,0,0,mid_dest,high_cand,los_le2,domestic,0.026715593,0.006935736,95,-14.798523,0.65625,0.09375,0.625,1,2
2341,55416,1,1,0,0,0,0,,,,,0.08339449,0.08944796,70,-3.8791428,0.11111111,0.33333334,0.33333334,1,1
2352,24041,9,9,0,0,0,0,low_dest,high_cand,los_3plus,international,0.06092593,0.060144044,747,63.55777,0.5294118,0.5588235,0.05882353,0,3
2355,96502,1,1,0,0,0,0,,,,,0.1532358,0.104327545,44,-51.222046,0.12903225,0.8064516,0.22580644,1,2
2356,88218,3,4,0,1,0,0,low_dest,mid_cand,los_le2,domestic,0.087077975,0.038709983,617,-17.035522,0.1,0.1,0.6333333,1,1
2366,111307,1,1,0,0,0,0,,,,,0.03629836,0.011097178,62,43.535324,0.074074075,0.037037037,0.22222222,1,1
2402,19940,2,2,0,0,0,0,mid_dest,low_cand,los_le2,international,0.02074192,0.030776074,131,-65.842285,0.54545456,0.54545456,0.18181819,0,2
2403,58475,12,11,1,0,0,0,high_dest,mid_cand,los_le2,domestic,0.037338804,0.02311912,113,-13.94957,0.5,0.5416667,0.083333336,1,1
2426,137997,1,1,0,0,0,0,,,,,0.077619255,0.04358569,1894,-68.36127,0.42424244,0.3939394,0.33333334,1,2
2430,105154,10,11,0,1,0,0,high_dest,mid_cand,los_le2,domestic,0.04524957,0.02311912,88,-31.803864,0.7826087,0.5652174,0.47826087,1,1
2481,24021,8,8,0,0,0,0,low_dest,high_cand,los_3plus,international,0.037050907,0.038191333,411,51.759186,1.0,0.03125,0.9375,0,5
2484,5355,1,1,0,0,0,0,,,,,0.0527079,0.04111542,280,-50.270065,0.0625,0.25,0.3125,0,2
2495,16325,8,8,0,0,0,0,low_dest,high_cand,los_le2,domestic,0.032169666,0.03991967,509,10.190186,0.84375,0.34375,0.125,1,1
