srch_id,prop_id,price_usd_booked,price_rank_norm_booked,price_vs_mean_booked,price_vs_median_booked,price_vs_prop_mean_booked,price_ratio_to_hist_booked,value_score_booked,value_score_rank_norm_booked,quality_rank_avg_booked,prop_starrating_booked,prop_review_score_booked,prop_brand_bool_booked,promotion_flag_booked,prop_location_score1_booked,prop_location_score2_booked,location1_rank_norm_booked,location2_rank_norm_booked,review_rank_norm_booked,star_percentile_booked,prop_count_booked,prop_click_rate_booked,prop_book_rate_booked,prop_dest_book_rate_booked,prop_avg_position_booked,orig_destination_distance_booked,comp_rate_advantage_booked,comp_no_inv_count_booked,seg_dest,seg_cand,seg_los,seg_dom,booked_v6_pos,booked_v4_pos,prop_id_wrong,price_usd_wrong,price_rank_norm_wrong,price_vs_mean_wrong,price_vs_median_wrong,price_vs_prop_mean_wrong,price_ratio_to_hist_wrong,value_score_wrong,value_score_rank_norm_wrong,quality_rank_avg_wrong,prop_starrating_wrong,prop_review_score_wrong,prop_brand_bool_wrong,promotion_flag_wrong,prop_location_score1_wrong,prop_location_score2_wrong,location1_rank_norm_wrong,location2_rank_norm_wrong,review_rank_norm_wrong,star_percentile_wrong,prop_count_wrong,prop_click_rate_wrong,prop_book_rate_wrong,prop_dest_book_rate_wrong,prop_avg_position_wrong,orig_destination_distance_wrong,comp_rate_advantage_wrong,comp_no_inv_count_wrong
322,118456,156.0,0.93939394,52.36364,58.0,15.598816,,0.59332556,0.6666667,0.32323232,3,4.0,0,1,2.4,,0.33333334,,0.45454547,0.59090906,68,0.034076013,0.0289009,0.027742945,12.240741,78.11,0,1,low_dest,high_cand,los_le2,domestic,23,21,124277,67.0,0.15151516,-36.63636,-31.0,-16.14009,,0.7109834,0.18181819,0.3030303,3,4.5,1,1,1.61,,0.6060606,,0.121212125,0.59090906,115,0.07130655,0.06780888,0.11612995,9.333333,81.81,1,0
413,131410,148.0,0.65384614,7.0,19.5,21.563057,,0.7993691,0.115384616,0.26923078,4,4.0,1,1,2.64,0.1022,0.3846154,0.3846154,0.3846154,0.8269231,236,0.046388905,0.03320409,0.04932177,13.380435,114.45,0,0,low_dest,mid_cand,los_le2,international,11,8,77192,120.0,0.46153846,-21.0,-8.5,-64.85338,,0.8340648,0.03846154,0.5,4,3.5,1,1,2.08,0.1049,0.6923077,0.34615386,0.7692308,0.8269231,234,0.03916458,0.033455636,0.030346569,6.7830687,113.84,1,0
431,98457,259.0,0.625,1.09375,20.0,62.19606,,0.7193363,0.6875,0.16666667,4,4.5,0,0,4.79,0.11,0.03125,0.65625,0.21875,0.46875,662,0.022166833,0.01420851,0.014450775,18.571428,,0,0,low_dest,high_cand,los_le2,domestic,29,31,67376,150.0,0.0625,-107.90625,-89.0,-51.779526,,0.7972448,0.25,0.16666667,4,4.5,0,1,4.79,0.0894,0.03125,0.71875,0.21875,0.46875,763,0.03321494,0.023748158,0.033453487,12.864262,,3,0
434,90798,59.76,0.67741936,8.676128,5.779999,-23.204586,0.77131116,0.7304723,0.67741936,0.19354838,3,4.5,1,0,5.23,0.4891,0.38709676,0.22580644,0.12903225,0.5,24,0.043323133,0.033931267,0.03991967,24.285715,,0,0,mid_dest,high_cand,los_le2,domestic,7,4,79887,26.99,0.06451613,-24.09387,-26.99,-2.2600002,0.25295755,0.9004014,0.09677419,0.16129032,3,4.0,0,0,5.27,0.5008,0.16129032,0.19354838,0.2580645,0.5,4,0.039395563,0.024479069,0.01981639,3.0,,0,0
458,82185,147.79,0.375,-196.46877,-76.860016,14.617493,,0.79959446,0.375,0.29166666,4,3.5,0,0,1.95,,0.125,,0.375,0.5625,4,0.068807326,0.05389083,0.027742945,6.5,,2,0,mid_dest,low_cand,los_le2,international,3,3,21663,425.08,0.75,80.82123,200.42998,166.44766,,0.8258147,0.125,0.20833333,5,4.0,0,0,1.79,0.3856,0.25,0.25,0.25,0.9375,30,0.08899082,0.013871472,0.027742945,1.3333334,,-1,0
501,4820,71.61,0.26666668,-30.92833,-20.024994,-17.53019,0.6711482,0.9334665,0.5,0.4888889,4,3.5,0,0,4.49,0.1595,0.23333333,0.33333334,0.8,0.38333333,107,0.05357262,0.027972907,0.0163773,22.45783,,-1,0,high_dest,mid_cand,los_le2,domestic,15,14,103699,70.31,0.2,-32.228333,-21.324997,-4036.3174,0.60224783,0.93741876,0.43333334,0.3888889,4,4.0,1,1,4.43,0.0926,0.4,0.7,0.33333334,0.38333333,151,0.10132293,0.06537176,0.08950341,11.568,,-1,0
522,4484,235.0,0.516129,-40.838715,0.0,89.24211,1.4184794,0.54906523,0.22580644,0.31182796,3,4.5,1,0,2.71,0.002,0.7419355,0.8064516,0.032258064,0.83870965,152,0.06779917,0.04303455,0.02970766,16.294737,108.3,0,0,mid_dest,high_cand,los_le2,domestic,4,3,14710,275.0,0.58064514,-0.8387146,40.0,30.45485,1.047882,0.711693,0.06451613,0.26881722,4,3.5,0,0,3.58,0.0055,0.41935483,0.22580644,0.32258064,0.9354839,95,0.018715594,0.006658307,0.0067665717,15.09375,109.66,0,0
523,45995,99.0,0.25,-17.78125,-10.0,6.794998,,0.43429446,0.9375,0.34375,2,4.5,1,0,2.4,0.0572,0.09375,0.3125,0.125,0.125,64,0.01424946,0.008854131,0.0049540973,11.415094,935.53,-1,0,low_dest,high_cand,los_le2,domestic,16,12,10930,77.0,0.125,-39.78125,-32.0,-1.0767593,,0.68859315,0.3125,0.3125,3,4.5,0,1,2.08,0.2178,0.5,0.03125,0.125,0.484375,74,0.1571101,0.14261816,0.16818397,7.9545455,935.58,0,0
527,70054,88.0,0.5625,-3.5,1.0,29.306526,,0.6683544,0.125,0.5416667,3,3.0,1,1,2.77,0.201,0.6875,0.0625,0.875,0.9375,190,0.046997495,0.03560131,0.03628572,19.710691,280.43,3,0,low_dest,low_cand,los_le2,domestic,5,5,50408,76.0,0.0625,-15.5,-11.0,9.326607,,0.69063866,0.0625,0.35416666,3,3.5,0,1,2.77,0.0624,0.6875,0.75,0.3125,0.9375,215,0.115671225,0.101356275,0.13260375,9.820652,281.31,0,0
547,140801,89.0,0.36666667,-26.966667,-27.5,5.3480453,,0.6666949,0.3,0.1,3,4.5,1,0,2.77,0.5658,0.033333335,0.2,0.1,0.55,87,0.03708931,0.024207592,0.025220858,14.692307,,0,0,high_dest,mid_cand,los_le2,domestic,3,4,124904,62.0,0.1,-53.966667,-54.5,4.840004,,0.4827263,0.9,0.5,2,4.0,1,0,2.77,0.6023,0.033333335,0.033333335,0.6333333,0.11666667,77,0.06859298,0.054507367,0.02311912,10.633333,,1,0
560,18730,100.0,0.57575756,2.1212158,1.0,-5.172386,,0.6500372,0.3939394,0.33333334,3,4.5,1,0,1.1,0.032,0.7878788,0.5151515,0.060606062,0.6212121,88,0.06219872,0.03247702,0.045548588,23.277779,73.57,0,0,low_dest,high_cand,los_le2,domestic,10,7,124277,67.0,0.24242425,-30.878784,-32.0,-16.14009,,0.7109834,0.15151516,0.26262626,3,4.5,1,1,1.61,0.1147,0.57575756,0.030303031,0.060606062,0.6212121,115,0.07130655,0.06780888,0.061991733,9.333333,79.82,0,0
589,5841,81.63,0.13333334,-54.637337,-24.010002,-130.33008,,0.90613097,0.26666668,0.35555556,4,4.0,0,1,4.32,0.2734,0.33333334,0.13333334,0.4,0.5,152,0.029337633,0.015562024,0.024102442,16.915384,,0,0,low_dest,low_cand,los_le2,international,2,2,95703,103.24,0.4,-33.027336,-2.4000015,-116.61721,,1.0760334,0.06666667,0.2888889,5,4.0,0,0,4.29,0.2986,0.4,0.06666667,0.4,0.9,118,0.05634763,0.04616411,0.07448703,19.83146,,0,0
609,22471,196.0,0.32,-133.07999,-137.0,4.870224,0.7247814,0.5678373,0.96,0.6,3,4.0,1,0,2.08,0.0233,0.28,0.32,0.8,0.18,533,0.071650885,0.026345095,0.017822623,14.884354,,0,0,low_dest,mid_cand,los_le2,domestic,10,11,135551,189.0,0.28,-140.07999,-144.0,-35.06955,0.6015456,0.7623369,0.08,0.38666666,4,4.0,1,1,2.08,0.0676,0.28,0.04,0.8,0.66,578,0.08608462,0.057289947,0.074601755,10.507205,,0,0
611,73049,57.0,0.33333334,-24.63636,-10.0,7.177574,0.67236847,0.73883563,0.5151515,0.42424244,3,4.0,0,1,4.04,0.2934,0.75757575,0.15151516,0.21212122,0.43939394,165,0.047894612,0.035037376,0.051097177,15.208333,951.53,0,0,mid_dest,high_cand,los_3plus,international,3,4,87506,114.0,0.8787879,32.36364,47.0,-3.390503,0.6677767,0.8430047,0.15151516,0.32323232,4,4.5,0,1,3.43,0.4093,0.90909094,0.030303031,0.030303031,0.8787879,138,0.06154434,0.052573144,0.17249629,8.853448,951.53,0,0
625,108888,68.0,0.5483871,3.6451645,1.0,-70.73074,0.46743625,0.94470936,0.32258064,0.16129032,4,4.0,1,0,4.55,0.0324,0.29032257,0.16129032,0.16129032,0.66129035,27,0.09367455,0.04968927,0.01155956,17.357143,6926.1,5,0,mid_dest,high_cand,los_le2,international,4,6,410,54.0,0.12903225,-10.3548355,-13.0,-66.273,0.42273238,0.99817,0.09677419,0.2580645,4,4.5,1,0,3.04,0.0111,0.7096774,0.7096774,0.032258064,0.66129035,70,0.08339449,0.048322883,0.013210926,12.717391,6928.04,2,0
662,69607,299.0,0.32142857,-41.92856,-40.0,9.604889,0.86974376,0.87661123,0.071428575,0.26190478,5,4.5,1,0,3.76,0.0384,0.6785714,0.60714287,0.071428575,0.91071427,372,0.02323246,0.01450818,0.020893848,24.75,80.69,0,0,low_dest,mid_cand,los_le2,domestic,8,9,21808,247.0,0.071428575,-93.92856,-92.0,-0.32556152,0.8347594,0.72550136,0.2857143,0.13095239,4,4.5,0,1,4.22,0.1349,0.071428575,0.071428575,0.071428575,0.4107143,670,0.039056357,0.025474697,0.028634042,11.131528,79.85,0,0
675,19303,276.9,0.7692308,18.627686,72.62999,29.431732,0.7435319,0.7108254,0.46153846,0.41025642,4,4.5,0,0,6.43,0.2626,0.9230769,0.9230769,0.15384616,0.7307692,115,0.016134132,0.012636472,0.008949337,17.086021,,3,0,high_dest,low_cand,los_3plus,international,11,11,60874,201.24,0.46153846,-57.032303,-3.0299988,-52.091217,0.7008219,0.753373,0.23076923,0.15384616,4,4.5,0,0,6.93,0.6995,0.15384616,0.15384616,0.15384616,0.7307692,41,0.061119,0.039891385,0.041207403,17.178572,,2,0
681,85431,100.17,0.5483871,-4.838066,2.3600006,-43.68817,,1.0830007,0.19354838,0.032258064,5,4.5,1,1,4.41,0.434,0.032258064,0.38709676,0.032258064,0.7096774,131,0.07043136,0.061070114,0.089677565,5.6513762,,3,0,mid_dest,high_cand,los_3plus,domestic,3,3,101671,77.3,0.22580644,-27.708061,-20.509995,-67.448074,,1.146645,0.06451613,0.16129032,5,4.0,0,1,4.39,0.3964,0.09677419,0.5483871,0.3548387,0.7096774,120,0.075596325,0.058881924,0.08795716,15.90196,,0,0
683,3454,184.0,0.48387095,-27.3871,-22.0,-2.9295197,,0.5746735,0.87096775,0.30107528,3,4.5,0,1,6.45,0.1203,0.09677419,0.61290324,0.2580645,0.30645162,103,0.04766503,0.028814198,0.025304772,14.632653,4153.72,-2,0,low_dest,high_cand,los_3plus,international,11,14,13544,151.0,0.29032257,-60.3871,-55.0,-0.10897827,,0.59714794,0.7741935,0.2795699,3,4.5,0,1,6.47,0.2857,0.032258064,0.22580644,0.2580645,0.30645162,98,0.05733945,0.053377252,0.073852114,8.709678,4153.61,-1,1
710,78600,122.41,0.32258064,-9.187744,-4.8899994,-14.40329,,0.8306489,0.58064514,0.21505377,4,4.0,1,0,4.42,0.3086,0.032258064,0.41935483,0.29032257,0.37096775,67,0.065355144,0.039508127,0.015412747,13.46,864.82,0,0,mid_dest,high_cand,los_3plus,domestic,5,6,17742,109.67,0.16129032,-21.92775,-17.630005,-27.040253,,1.0623486,0.032258064,0.34408602,5,4.0,0,0,4.04,0.4143,0.7096774,0.2580645,0.29032257,0.87096775,41,0.047034495,0.039891385,0.08516196,18.35484,864.05,0,0
773,58063,119.1,0.21428572,-51.57894,-50.560005,-77.60377,,0.6265239,0.75,0.61904764,3,0.0,1,0,3.53,,0.35714287,,0.9285714,0.25,61,0.036697242,0.020135036,0.011097178,22.641026,,-1,0,mid_dest,mid_cand,los_le2,international,16,15,6982,148.88,0.35714287,-21.798935,-20.779999,-11.681656,,0.7984294,0.14285715,0.083333336,4,4.5,1,0,3.58,0.1289,0.071428575,0.035714287,0.071428575,0.71428573,254,0.075138904,0.05926862,0.024488488,9.913043,,-2,0
780,7256,127.0,0.21875,-34.9375,-22.0,-29.39589,,0.6182979,0.65625,0.6041667,3,3.5,1,1,4.38,0.4608,0.34375,0.125,0.90625,0.265625,246,0.044708148,0.01750829,0.011508374,23.817568,229.31,4,0,low_dest,high_cand,los_le2,domestic,9,9,25827,116.0,0.125,-45.9375,-33.0,-56.694794,,0.83995247,0.09375,0.28125,4,4.0,1,1,4.38,0.4532,0.34375,0.15625,0.4375,0.734375,408,0.012190524,0.004183307,0.002201821,18.32686,229.29,0,0
791,40702,131.9,0.7741935,15.189995,16.609993,-8281.818,,1.0225792,0.516129,0.2580645,5,4.5,1,0,4.34,0.1548,0.67741936,0.38709676,0.06451613,0.6451613,163,0.04839093,0.040581804,0.03687439,4.8809524,4021.11,0,0,high_dest,high_cand,los_le2,international,11,13,17714,89.89,0.29032257,-26.82,-25.400002,-5380.5327,,1.1087334,0.06451613,0.1827957,5,4.5,0,1,4.38,0.1833,0.4516129,0.22580644,0.06451613,0.6451613,165,0.11968948,0.096575834,0.08709686,12.0220585,4021.31,0,0
795,73907,73.0,0.5294118,3.7352905,1.0,-62.881332,0.48697582,0.46467698,0.88235295,0.20588236,2,4.0,1,1,3.5,0.1351,0.029411765,0.05882353,0.0882353,0.29411766,157,0.033900797,0.031188708,0.002117782,8.713115,41.55,0,0,low_dest,high_cand,los_3plus,domestic,8,9,913,77.0,0.5882353,7.7352905,5.0,-95.10161,0.478933,0.9181242,0.029411765,0.04901961,4,4.0,0,0,3.5,0.1537,0.029411765,0.029411765,0.0882353,0.9852941,229,0.15575077,0.10746057,0.1130834,5.3024693,41.45,0,1
806,28328,106.05,0.6764706,12.017647,10.9900055,-19.981186,0.6662505,0.64194524,0.4117647,0.32352942,3,4.5,1,0,1.39,0.0137,0.6764706,0.88235295,0.11764706,0.64705884,76,0.012636313,0.007851777,0.0046238243,21.59375,,0,0,low_dest,high_cand,los_3plus,international,22,23,34733,46.56,0.05882353,-47.472355,-48.499996,-8.610699,0.7951231,0.51786745,0.64705884,0.33333334,2,4.0,1,1,2.4,0.085,0.029411765,0.2647059,0.3529412,0.22058824,100,0.07184192,0.06024837,0.062903374,13.511364,,0,0
843,24092,118.0,0.09375,-44.5,-38.5,-345.1654,0.5890079,0.8369736,0.125,0.28125,4,4.0,1,1,4.37,0.0979,0.03125,0.53125,0.6875,0.625,583,0.04786207,0.032352835,0.03400668,19.09663,120.7,1,0,mid_dest,high_cand,los_le2,international,4,4,13760,130.0,0.34375,-32.5,-26.5,-885.8867,0.5420128,0.8204796,0.25,0.1875,4,4.5,1,0,4.26,0.1865,0.34375,0.0625,0.09375,0.625,465,0.12593828,0.10067129,0.13134216,15.790698,121.05,0,0
947,93595,126.83,0.3,-25.819992,-20.384995,-40.142166,0.58441,1.0307788,0.033333335,0.36666667,5,4.5,0,1,5.76,0.5796,0.9,0.6666667,0.16666667,0.8666667,111,0.05205283,0.02717935,0.0077063735,9.216495,,0,0,high_dest,mid_cand,los_3plus,international,4,2,100171,175.15,0.73333335,22.5,27.934998,-232.80273,0.53027606,0.9668682,0.16666667,0.33333334,5,4.5,1,1,5.84,0.5291,0.8,0.76666665,0.16666667,0.8666667,150,0.09633027,0.06017938,0.065069415,5.4166665,,0,0
962,70629,59.91,0.45,-10.538998,-1.2800026,-35.50143,0.5503743,0.73003405,0.65,0.15,3,4.5,1,0,3.4,0.078,0.15,0.55,0.05,0.45,42,0.14360346,0.13655956,0.10844902,6.0,,0,1,high_dest,low_cand,los_le2,domestic,2,2,28978,69.2,0.7,-1.2490005,8.0099945,-35.61609,0.61079174,0.9408779,0.1,0.28333333,4,4.0,0,1,1.79,0.3284,0.6,0.05,0.2,0.925,46,0.109729595,0.06358274,0.11387147,6.9166665,,1,0
986,137642,93.0,0.54545456,-6.36364,1.0,-20.565895,,0.6603137,0.3939394,0.1010101,3,4.5,1,0,2.77,0.2536,0.030303031,0.33333334,0.09090909,0.57575756,56,0.08534243,0.0561894,0.075142905,19.135136,0.73,0,0,low_dest,high_cand,los_le2,domestic,2,5,110209,55.0,0.121212125,-44.36364,-37.0,-9.5918045,,0.49685103,0.8484849,0.4949495,2,3.5,1,1,2.77,0.3608,0.030303031,0.030303031,0.6969697,0.15151516,72,0.0327397,0.01796361,0.053226225,17.796297,0.4,0,0
1009,6300,83.97,0.22222222,-54.81334,-22.419998,-225.22992,,0.4502174,0.6111111,0.35185185,2,3.5,0,0,3.4,0.1032,0.22222222,0.16666667,0.2777778,0.3611111,257,0.07435348,0.048196126,0.05554041,14.348259,8186.91,0,0,mid_dest,low_cand,los_3plus,international,2,1,112063,362.6,1.0,223.81667,256.21002,-840.66785,,0.6784198,0.16666667,0.074074075,4,4.5,0,0,3.53,0.1519,0.11111111,0.11111111,0.055555556,0.9444444,195,0.06817533,0.05703239,0.06723313,10.795774,8186.74,0,0
1020,52041,258.05,0.7037037,0.3892517,27.409988,55.673553,0.98329425,0.7198101,0.44444445,0.27160493,4,4.0,1,0,5.05,0.2651,0.4074074,0.2962963,0.25925925,0.6481481,56,0.09697034,0.0561894,0.08225826,12.119047,,0,0,mid_dest,mid_cand,los_3plus,international,8,12,87759,151.61,0.11111111,-106.050735,-79.03,30.746864,0.8970097,0.5966723,0.7407407,0.54320985,3,4.0,1,1,5.02,0.1299,0.7037037,0.7777778,0.25925925,0.22222222,51,0.10295616,0.08434924,0.06827978,14.222222,,2,0
1027,97708,158.0,0.75,20.75,21.0,35.639168,,0.59184384,0.16666667,0.30555555,3,4.5,1,0,1.79,,0.41666666,,0.41666666,0.8333333,60,0.02599388,0.0092476485,0.021340726,17.145834,664.88,-1,1,low_dest,low_cand,los_le2,domestic,9,9,9038,159.0,0.8333333,21.75,22.0,51.28846,,0.59111273,0.25,0.3611111,3,4.5,1,0,1.39,0.2757,0.5833333,0.16666667,0.41666666,0.8333333,52,0.07731035,0.046735223,0.0982638,22.410257,666.55,0,0
1029,10337,135.0,0.6969697,7.060608,11.0,-7.009918,0.74473643,0.8142237,0.27272728,0.21212122,4,4.0,1,0,2.89,0.0864,0.030303031,0.18181819,0.5151515,0.75757575,129,0.10276383,0.06183829,0.033616565,6.3039217,67.39,0,0,low_dest,high_cand,los_le2,domestic,2,1,23308,119.0,0.45454547,-8.939392,-5.0,-11.544708,0.7476078,0.6266329,0.6969697,0.34343433,3,4.0,1,0,2.89,0.1135,0.030303031,0.15151516,0.5151515,0.34848484,119,0.089526504,0.07269992,0.059932355,4.8404255,67.03,2,0
1032,61456,50.0,0.15625,-27.0625,-15.0,0.42933273,,0.50866956,0.625,0.53125,2,2.5,1,0,2.08,0.3593,0.21875,0.21875,0.875,0.28125,60,0.02599388,0.02035876,0.0473122,15.857142,0.52,0,0,low_dest,high_cand,los_le2,domestic,7,7,15793,43.0,0.03125,-34.0625,-22.0,2.7028084,,0.52851474,0.5,0.40625,2,3.5,1,0,2.08,0.5439,0.21875,0.03125,0.5,0.28125,57,0.11884424,0.11301481,0.17109717,4.9333334,0.25,-2,0
1033,45875,290.73,0.6,-22.080994,0.58499146,-33.89203,1.0537921,0.8809286,0.6,0.083333336,5,4.5,1,0,5.24,0.1452,0.05,0.45,0.15,0.525,265,0.05199813,0.026550129,0.026864177,14.883248,,1,0,mid_dest,low_cand,los_le2,international,14,16,138205,289.66,0.45,-23.151001,-0.48501587,-57.279205,0.76239365,0.8814993,0.45,0.35,5,4.5,1,0,4.43,0.1175,0.85,0.65,0.15,0.525,238,0.10574421,0.074001074,0.061175175,6.6439023,,1,0
1063,81991,94.0,0.38709676,-57.0,-26.0,-11.0099945,,0.43918622,0.83870965,,2,,0,0,3.64,,0.16129032,,,0.22580644,2,0.041857786,0.02600901,0.027742945,36.0,3515.35,0,0,high_dest,high_cand,los_3plus,international,23,21,80272,116.0,0.4516129,-35.0,-4.0,-4.854805,,0.83995247,0.032258064,0.10752688,4,4.5,1,0,3.64,0.6048,0.16129032,0.06451613,0.06451613,0.83870965,25,0.097080894,0.06967797,0.021340726,6.0526314,3515.25,0,0
1069,7784,98.95,0.8181818,13.137573,17.279999,-9.850006,,0.8686833,0.09090909,0.28282827,4,4.0,1,0,2.08,0.3238,0.5151515,0.15151516,0.3030303,0.93939394,50,0.09174311,0.047903605,0.060829975,4.4358974,,0,0,mid_dest,high_cand,los_le2,international,4,4,40378,92.67,0.6666667,6.8575745,11.0,-21.70736,,0.8811004,0.060606062,0.24242425,4,4.0,1,0,2.2,0.5278,0.3939394,0.09090909,0.3030303,0.93939394,53,0.10047529,0.09436492,0.15606807,7.487805,,0,0
